area,feeder,PEANO
N1,NIA06,17852419
N1,NIA06,5600680612
N1,NIA06,29809710
N1,NIA06,21325817
N1,NIA06,29079952
N1,NIA06,19684539
N1,NIA06,5801495547
N1,NIA06,5600027384
N1,NIA06,22007385
N1,NIA06,21095466
N1,NIA06,5800448864
N1,NIA06,24118164
N1,NIA06,17957382
N1,NIA06,19431822
N1,NIA06,5901006123
N1,NIA06,19963962
N1,NIA06,5900830518
N1,NIA06,5801101178
N1,NIA06,24119816
N1,NIA06,5701450898
N1,NIA06,20041755
N1,NIA06,19762362
N1,NIA06,17972159
N1,NIA06,6100857990
N1,NIA06,24176666
N1,NIA06,29808133
N1,NIA06,21346597
N1,NIA06,20769609
N1,NIA06,20573704
N1,NIA06,19941444
N1,NIA06,5800264172
N1,NIA06,5700633204
N1,NIA06,6000267364
N1,NIA06,20587057
N1,NIA06,20516921
N1,NIA06,27110652
N1,NIA06,18704971
N1,NIA06,6001458927
N1,NIA06,6100000072
N1,NIA06,29104146
N1,NIA06,30447468
N1,NIA06,27802681
N1,NIA06,5701450920
N1,NIA06,23717008
N1,NIA06,19202547
N1,NIA06,6001460698
N1,NIA06,22390456
N1,NIA06,20166770
N1,NIA06,16321450
N1,NIA06,24176671
N1,NIA06,19010058
N1,NIA06,23079086
N1,NIA06,23270499
N1,NIA06,16638733
N1,NIA06,23815878
N1,NIA06,6001460679
N1,NIA06,17972128
N1,NIA06,21015380
N1,NIA06,21572012
N1,NIA06,6001460695
N1,NIA06,5801355359
N1,NIA06,21470650
N1,NIA06,5700239828
N1,NIA06,22353045
N1,NIA06,18152105
N1,NIA06,19083878
N1,NIA06,6000845319
N1,NIA06,21870106
N1,NIA06,5801101188
N1,NIA06,22353047
N1,NIA06,19762366
N1,NIA06,21745613
N1,NIA06,20217478
N1,NIA06,29748698
N1,NIA06,20470646
N1,NIA06,5700710475
N1,NIA06,5800448831
N1,NIA06,C824518
N1,NIA06,6100545847
N1,NIA06,18285314
N1,NIA06,21396559
N1,NIA06,17852416
N1,NIA06,17187913
N1,NIA06,28805701
N1,NIA06,20517937
N1,NIA06,21470649
N1,NIA06,29812808
N1,NIA06,5700533805
N1,NIA06,24320316
N1,NIA06,27058017
N1,NIA06,29073025
N1,NIA06,20192710
N1,NIA06,6000025176
N1,NIA06,29812886
N1,NIA06,6000266150
N1,NIA06,20991290
N1,NIA06,6001353646
N1,NIA06,5800338009
N1,NIA06,21926999
N1,NIA06,17504140
N1,NIA06,25700933
N1,NIA06,18432257
N1,NIA06,20618578
N1,NIA06,5901004443
N1,NIA06,25264925
N1,NIA06,5800264161
N1,NIA06,5600027038
N1,NIA06,14878365
